Palabra;Grupo;Entidad;Frecuencia;Porcentaje;Pareto;Polaridad;Negativa;Neutra;Positiva;Puntuacion;Critica;Molestia;Duda;Disgusto;Miedo;Alegria;Tristeza;Sorpresa;Confianza
promocion;PROMOCIÓN;;1324;0,10%;1;;;;;;;;;;;;;;
porfavor;POR FAVOR;;1321;0,10%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
buenas;BUENO;;1295;0,09%;1;;;;;;;;;;;;;;
tema;TEMA;;1294;0,09%;1;;;;;;;;;;;;;;
tal;ND;;1292;0,09%;1;;;;;;;;;;;;;;
paso;PASAR;;1290;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
ultimo;ULTIMO;;1285;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
digame;DECIR;;1284;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pendiente;PENDIENTE;;1276;0,09%;1;Negativa;1;0;0;-4;no critico;10;8;7;0;0;0;0;0
cuarentena;CUARENTENA;;1276;0,09%;1;;;;;;;;;;;;;;
veces;VECES;;1272;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cada;CADA;;1265;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
indicaron;INDICAR;;1261;0,09%;1;Neutra;0;1;0;0;no critico;0;9;0;0;0;0;0;0
confirmar;CONFIRMAR;;1259;0,09%;1;Neutra;0;1;0;0;no critico;0;8;0;8;0;0;8;0
hacerlo;HACER;;1256;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
navegador;NAVEGADOR;;1253;0,09%;1;;;;;;;;;;;;;;
hiraoka;MARCA;;1243;0,09%;1;;;;;;;;;;;;;;
movistar;MARCA;;1233;0,09%;1;;;;;;;;;;;;;;
mensaje;MENSAJE;;1227;0,09%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
posible;POSIBLE;;1207;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
comunicarme;COMUNICAR;;1207;0,09%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;8;0
ano;AÑO;;1207;0,09%;1;;;;;;;;;;;;;;
pasa;PASAR;;1205;0,09%;1;;;;;;;;;;;;;;
llame;LLAMAR;;1203;0,09%;1;Neutra;0;1;0;0;no critico;0;7;0;0;0;0;0;7
beneficio;BENEFICIO;;1202;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;8;0;6;8
debe;DEBER;;1197;0,09%;1;Neutra;0;1;0;0;no critico;7;7;7;0;0;0;9;0
diferencia;DIFERENCIA;;1191;0,09%;1;;;;;;;;;;;;;;
anterior;ANTERIOR;;1184;0,09%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
millas;MILLAS;;1181;0,08%;1;;;;;;;;;;;;;;
dijo;DECIR;;1179;0,08%;1;Neutra;0;1;0;0;no critico;0;6;0;0;0;0;0;0
dar;DAR;;1179;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pagando;PAGAR;;1176;0,08%;1;Neutra;0;1;0;0;no critico;7;9;7;0;0;0;0;0
listo;LISTO;;1172;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;5
ayuda;AYUDAR;;1164;0,08%;1;Neutra;0;1;0;1;critico;0;0;0;0;8;0;7;9
realizo;REALIZAR;;1163;0,08%;1;;;;;;;;;;;;;;
mensual;MENSUAL;;1148;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
reclamos;RECLAMO;;175;0,01%;2;Negativa;1;0;0;-4;critico;8;8;8;8;0;5;0;0
saga;MARCA;;1135;0,08%;1;;;;;;;;;;;;;;
aqui;AQUÍ;;1131;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
problemas;PROBLEMA;;1130;0,08%;1;Negativa;1;0;0;-5;critico;10;8;9;0;0;7;0;0
situacion;SITUACIÓN;;1129;0,08%;1;;;;;;;;;;;;;;
emergencia;EMERGENCIA;;1129;0,08%;1;Negativa;1;0;0;-5;no critico;8;9;0;10;0;8;0;0
importe;IMPORTE;;1104;0,08%;1;;;;;;;;;;;;;;
abono;ABONAR;;1104;0,08%;1;;;;;;;;;;;;;;
solucion;SOLUCIONAR;;1100;0,08%;1;Neutra;0;1;0;0;critico;0;0;0;0;10;0;0;10
ello;ELLOS;;1100;0,08%;1;;;;;;;;;;;;;;
deberia;DEBER;;1099;0,08%;1;Negativa;1;0;0;-5;no critico;7;7;7;0;0;0;9;0
pasada;PASADO;;1093;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
fraccionar;FRACCIONAR;;1092;0,08%;1;;;;;;;;;;;;;;
parece;PARECE;;1088;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
pasar;PASAR;;1086;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
cobran;COBRAR;;1086;0,08%;1;;;;;;;;;;;;;;
comunique;COMUNICAR;;1083;0,08%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;8;0
proceso;PROCESO;;1082;0,08%;1;Neutra;0;1;0;0;no critico;0;8;0;0;0;0;0;0
pedi;PERDER;;1081;0,08%;1;;;;;;;;;;;;;;
devolucion;DEVOLVER;;1073;0,08%;1;Negativa;1;0;0;-4;no critico;0;9;7;0;0;0;7;0
menos;MENOR;;1066;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
ayudar;AYUDAR;;1064;0,08%;1;Neutra;0;1;0;1;critico;0;0;0;0;8;0;7;9
online;ONLINE;;1057;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
recien;RECIEN;;1054;0,08%;1;Neutra;0;1;0;0;no critico;0;0;0;0;0;0;0;0
dicen;DECIR;;1050;0,08%;1;Neutra;0;1;0;0;no critico;0;6;0;0;0;0;0;0
via;ND;;1043;0,08%;1;;;;;;;;;;;;;;
