1,Palabra,Grupo,Entidad,Frecuencia,Porcentaje,Pareto,Polaridad,Negativa,Neutra,Positiva,Puntuacion,Critica,Molestia,Duda,Disgusto,Miedo,Alegria,Tristeza,Sorpresa,Confianza
5719,pides,pedir,,152,152,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5720,pelota,pelota,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5721,penas,pena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5722,penalidades,penalidad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5723,pensado,pensar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5724,perjudicado,perjudicar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5725,permiten,permitir,,211,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5726,pertenesco,pertenecer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5727,pino,pino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5728,pocas,poco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5729,podamos,poder,,21827,0,1,Neutra,0,1,0,1,no critico,0,8,0,0,0,0,0,0
5730,poderlo,poder,,21827,0,1,Neutra,0,1,0,1,no critico,0,8,0,0,0,0,0,0
5731,pordria,poder,,21827,0,1,Neutra,0,1,0,1,no critico,0,8,0,0,0,0,0,0
5732,puden,poder,,21827,0,1,Neutra,0,1,0,1,no critico,0,8,0,0,0,0,0,0
5733,poleo,poleo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5734,pondre,poner,,258,258,0,Neutra,0,1,0,1,no critico,0,0,0,0,0,0,3,0
5735,popular,popular,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5736,posteriores,posterior,,260,260,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5737,practica,practico,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5738,preexistencias,preexistencia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5739,preguntamos,preguntar,,217,0,0,Neutra,0,1,0,0,no critico,0,10,0,0,0,0,0,0
5740,presencialmente,presencial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5741,presentamos,presentar,,305,305,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5742,presentan,presentar,,305,305,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5743,presion,presionar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5744,prestada,prestar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5745,preventiva,prevenir,,421,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5746,previamente,previo,,452,452,0,Positiva,0,1,0,3,no critico,1,2,0,0,1,0,0,0
5747,principales,principal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5748,privadas,privado,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5749,probado,probar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5750,probare,probar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5751,pruebe,probar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5752,programarlo,programar,,1057,0,1,Neutra,0,1,0,1,no critico,0,0,0,0,2,0,0,3
5753,promo,promocion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5754,proporcione,proporcionar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5755,proteciion,proteger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5756,protegido,proteger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5757,proximos,proximo,,1517,0,1,Positiva,0,1,0,3,no critico,0,2,0,0,0,0,0,0
5758,proyecto,proyecto,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5759,psicologicas,psicologia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5760,publicacion,publicar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5761,loque,que,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5762,nquedo,quedar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5763,quedara,quedar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5764,quejar,quejar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5765,queme,quemar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5766,qiero,querer,,4219,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5767,querian,querer,,4219,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5768,quieran,querer,,4219,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5769,quiseira,querer,,4219,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5770,querida,querido,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5771,quieto,quieto,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5772,quince,numero_escrito,,263,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5773,rajadura,rajar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5774,raspar,raspar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5775,reactivarla,reactivar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5776,reajuste,reajuste,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5777,reales,real,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5778,realizarian,realizar,,1836,1836,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5779,realizarla,realizar,,1836,1836,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5780,reaseguros,reaseguros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5781,reboto,rebotar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5782,recepcionado,recepcion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5783,recetado,recetar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5784,recetas,recetar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5785,receto,recetar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5786,rechaza,rechazar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5787,recibia,recibir,,195,195,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5788,recibirlo,recibir,,195,195,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5789,recomendacion,recomendar,,457,0,0,Positiva,0,1,0,3,no critico,1,0,0,0,1,0,0,0
5790,recomiendan,recomendar,,457,0,0,Positiva,0,1,0,3,no critico,1,0,0,0,1,0,0,0
5791,recomiendas,recomendar,,457,0,0,Positiva,0,1,0,3,no critico,1,0,0,0,1,0,0,0
5792,reconocer,reconocer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5793,recordaba,recordar,,232,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5794,recuerde,recordar,,232,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5795,recurrente,recurrente,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5796,recurso,recurso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5797,reducir,reducir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5798,reembolsen,reembolsar,,371,0,0,Neutra,0,1,0,0,no critico,0,10,8,8,0,0,0,0
5799,reenvien,reenviar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5800,reevaluan,reevaluar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5801,refaccion,refaccion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5802,reflejado,reflejar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5803,regional,region,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5804,registral,registrar,,1702,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5805,registrara,registrar,,1702,0,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5806,regularizara,regularizar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5807,regularizarlo,regularizar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5808,rellenar,rellenar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5809,remedios,remedio,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5810,remisse,vehiculo,,1873,1873,1,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5811,remita,remitir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5812,remitieron,remitir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5813,rendimiento,rendir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5814,renovable,renovar,,331,0,0,Positiva,0,0,1,5,no critico,0,0,0,0,7,0,0,9
5815,renovaron,renovar,,331,0,0,Positiva,0,0,1,5,no critico,0,0,0,0,7,0,0,9
5816,repararlo,reparar,,347,0,0,Neutra,0,1,0,2,no critico,1,2,1,0,0,0,0,0
5817,repente,repentino,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5818,reportarlo,reportar,,280,0,0,Negativa,1,0,0,-4,critico,9,8,9,7,0,0,0,0
5819,representacion,representar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5820,represento,representar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5821,requirio,requerir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5822,resguardo,resguardar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5823,residencia,residir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5824,resolvi,resolver,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5825,resuelvan,resolver,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5826,repuesta,responder,,1842,0,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,0
5827,respondeme,responder,,1842,0,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,0
5828,restaurantes,restaurante,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5829,retenido,retener,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5830,revisa,revisar,,222,222,0,Positiva,0,0,1,5,no critico,0,1,0,0,3,0,2,3
5831,robar,robar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5832,rompio,romper,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5833,sabre,saber,,6004,6004,1,Neutra,0,1,0,1,no critico,0,0,0,0,0,0,0,0
5834,saca,sacar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5835,sacaron,sacar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5836,saldos,saldo,,450,450,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5837,saldra,salir,,559,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5838,salid,salir,,559,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5839,saludarte,saludar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5840,slds,saludar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5841,scotiabanck,marca,,1137,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5842,segueo,seguir,,288,288,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5843,segui,seguir,,288,288,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5844,seguido,seguir,,288,288,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5845,siguiendo,seguir,,288,288,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5846,srguro,seguro,,24015,24015,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,9
5847,swguro,seguro,,24015,24015,1,Neutra,0,1,0,0,no critico,0,7,0,0,0,0,0,9
5848,selecciona,seleccionar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5849,seminario,seminario,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5850,senalan,senalar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5851,sencilla,sencillo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5852,srita,senor (es),,349,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5853,sentencia,sentencia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5854,separados,separar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5855,seran,ser,,595,0,0,Neutra,0,1,0,0,no critico,0,0,0,0,0,0,0,0
5856,serv,servir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5857,serviria,servir,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5858,yep,si,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5859,sinietro,siniestro,,2271,2271,1,Negativa,1,0,0,-5,critico,9,0,9,9,0,7,0,0
5860,sinistro,siniestro,,2271,2271,1,Negativa,1,0,0,-5,critico,9,0,9,9,0,7,0,0
